student_id,date,age,gender,country,grade,mood,stress_level,sleep_hours,screen_time_hours,used_ai_today,ai_tool,journaled_today,meditated_today,exercised_today,social_interaction_rating,support_feeling
S0001,1/1/2025,15,Female,USA,11th,5,5,3.6,2.1,FALSE,None,FALSE,FALSE,TRUE,6,7
S0001,1/2/2025,15,Female,USA,11th,6,4,9.1,8.8,TRUE,Phind,TRUE,FALSE,TRUE,4,7
S0001,1/3/2025,15,Female,USA,11th,8,2,8.5,7.8,TRUE,Notion AI,FALSE,TRUE,FALSE,6,5
S0001,1/4/2025,15,Female,USA,11th,5,6,4.9,6.1,FALSE,None,TRUE,TRUE,FALSE,5,9
S0001,1/5/2025,15,Female,USA,11th,9,1,7.7,7.5,FALSE,None,TRUE,TRUE,FALSE,5,9
S0001,1/6/2025,15,Female,USA,11th,7,3,6.6,3.4,TRUE,Grammarly,TRUE,FALSE,TRUE,7,4
S0001,1/7/2025,15,Female,USA,11th,4,7,6.9,8.3,TRUE,EduChat,TRUE,FALSE,TRUE,5,4
S0001,1/8/2025,15,Female,USA,11th,9,1,7.2,4.6,FALSE,None,TRUE,TRUE,FALSE,5,7
S0001,1/9/2025,15,Female,USA,11th,5,4,6.8,8,TRUE,Phind,FALSE,TRUE,FALSE,4,8
S0001,1/10/2025,15,Female,USA,11th,9,1,6.3,7,FALSE,None,FALSE,FALSE,FALSE,3,6
S0001,1/11/2025,15,Female,USA,11th,9,1,3.4,5.8,TRUE,Phind,TRUE,TRUE,FALSE,4,8
S0001,1/12/2025,15,Female,USA,11th,9,1,5.5,7.2,TRUE,ChatGPT,TRUE,FALSE,FALSE,9,8
S0001,1/13/2025,15,Female,USA,11th,6,3,5.8,5.1,TRUE,EduChat,FALSE,FALSE,FALSE,8,6
S0001,1/14/2025,15,Female,USA,11th,7,2,6.4,8,FALSE,None,TRUE,FALSE,FALSE,3,5
S0001,1/15/2025,15,Female,USA,11th,3,7,7.8,6.9,TRUE,Notion AI,FALSE,FALSE,FALSE,9,6
S0001,1/16/2025,15,Female,USA,11th,3,6,7.4,8.6,FALSE,None,TRUE,TRUE,TRUE,3,6
